Company Name,Address,Phone,Website,Categories,Association,Guide State,Existing Provider Match,Source URLs,Research Status,Description
Babst Calland,"300 Summers Street, Suite 1000, Charleston, WV 25301",(681) 205-8951,,Environmental Law; Safety and Health Law,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002542&company_name=Babst+Calland; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Environmental+Law&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Safety+and+Health+Law&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Baker Hughes,"400 Technology Drive, Suite 100, Canonsburg, PA 15317",(724) 514-5251,,Oilfield Products; Oilfield Services,West Virginia oil and gas industry buyers guide,WV,Baker Hughes - Dickinson Completions District,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Oilfield+Products&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Oilfield+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Batteries Direct,"408 37th Street, Parkersburg, WV 26101",(304) 428-2296,,Equipment Supply / Manufacturer,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Supply+%2F+Manufacturer&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
BBU Services of WV,"Post Office Box 169, Kenna, WV 25248",(304) 531-9398,,Environmental Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Environmental+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
BD Oil Gathering Corp.,"649 Mitchell'S Lane, Marietta, OH 45750",(741) 037-4355,,Crude Oil Buyer and Transporter; Oilfield Trucking; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Crude+Oil+Buyer+and+Transporter&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Oilfield+Trucking&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Trucking+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
BD Oil Gathering Corp.,"649 Mitchells LN, Marietta, OH 45750",(740) 374-9355,http://www.bdoil.com,Crude Oil Buyer and Transporter; Oilfield Trucking; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750003007&company_name=BD+Oil+Gathering+Corp.,Association guide discovery — verify current operations and oil/gas fit against company source,"BD Oil Gathering Corporation has been servicing the Ohio Valley for over 20 years. We have extensive experience in the gathering business, and are ready to service your needs!..."
Bellator Services LLC,"2751 S Mountaineer HWY, Thornton, WV 26440",(304) 376-3862,https://www.bellatorservices.com/,Safety and Risk Consulting; Photographic Supplies; Security and Safety Supplies; Construction Security; Equipment & Supplies,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000331&company_name=Bellator+Services+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Bellator Services LLC is a West Virginia-based, Service-Disabled Veteran-Owned Small Business (SDVOSB) dedicated to providing elite physical security and professional solutions to the oil and gas industry. Headquartered..."
"Benchmark SH&E Services, LLC","400 White Oaks BLVD, Bridgeport, WV 26330",(304) 363-1446,,Safety and Risk Consulting; Equipment Rental / Repairs; AGT (Above Ground Storage Tank) Inspections; Environmental Services; Inspections; Safety and Risk Management; Safety Training,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Consulting&scat=Safety+and+Risk+Consulting&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Rental+%2F+Repairs&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=AGT+%28Above+Ground+Storage+Tank%29+Inspections&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Environmental+Services&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Inspections&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Safety+and+Risk+Management&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Safety+Training&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
BHE GT&S,"925 White Oaks Boulevard, Bridgeport, WV 26330",(681) 842-3242,,Gas Compressors; Gas Processing,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002282&company_name=BHE+GT%26S,Association guide discovery — verify current operations and oil/gas fit against company source,"BHE GT&S is an interstate natural gas transmission and storage company headquartered in Richmond, Virginia, with operations in 10 states. It is a standalone subsidiary of Berkshire Hathaway..."
"BJ Inspections, Inc.","246 Maple Street, Westfield, PA 16950",(814) 367-0419,,Pipeline Construction; Inspections,West Virginia oil and gas industry buyers guide,WV,,https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Inspections&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
BK Corrosion,,(681) 214-5005,http://www.BKCorrosion.com,Pipeline Maintenance; Inline Inspection; Supply Companies; Pipeline Integrity,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002887&company_name=BK+Corrosion,Association guide discovery — verify current operations and oil/gas fit against company source,"BK Corrosion is an independent distributor and manufacturer of cathodic protection materials including but not limited to: graphite, cast iron, MMO, magnesium anodes, test stations, custom rectifiers, and..."
Boyd CAT,"1400 E. Dupont Avenue, Belle, WV 25015",(304) 206-2747,http://BoydCat.com,Equipment Rental / Repairs; Equipment Supply / Manufacturer; Generator Sales / Rental / Service; Truck Equipment and Service; Gas Compressors,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002994&company_name=Boyd+CAT,Association guide discovery — verify current operations and oil/gas fit against company source,"Boyd CAT is your trusted Caterpillar dealer for Gas Compression. With over 100 years serving Kentucky, Southern Indiana, West Virginia, and Southeastern Ohio, Boyd CAT is committed to the..."
Bruce Allen Inc.,"Post Office Box 199, Harrisville, WV 26362",(304) 643-4613,,Midstream Pipeline,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Midstream+Pipeline&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Buchanan Ingersoll & Rooney,"Union Trust Building - 501 Grant Street, Suite 200, Pittsburgh, PA 15219-4413",(412) 562-1366,https://www.bipc.com/energy/,Environmental Law; Safety and Health Law; Environmental Services; Midstream Pipeline,West Virginia oil and gas industry buyers guide,WV,,https://www.paoilgasbuyersguide.com/listing.php?listing_id=660002564&company_name=Buchanan+Ingersoll+%26+Rooney; https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002563&company_name=Buchanan+Ingersoll+%26+Rooney,Association guide discovery — verify current operations and oil/gas fit against company source,"Buchanan has played a pivotal role in shattering barriers to energy industry growth through legal and business acumen, landmark litigation, and legislative prowess. The firm’s integrated energy..."
"C & L Enterprise, LLC","78 Hutson Road, Mineral Wells, WV 26150",(304) 482-5358,,Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Trucking+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Canaan Industries, LLC","12845 Burbank Road, Burbank, OH 44214",(330) 464-1510,,Equipment Supply / Manufacturer,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Supply+%2F+Manufacturer&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Canopy Prospecting Inc.,"4975 W Chester PIKE, Suite 200, Edgmont, PA 19028",(610) 353-1401,http://www.canopyprospecting.com,Rail Transportation,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002315&company_name=Canopy+Prospecting+Inc.,Association guide discovery — verify current operations and oil/gas fit against company source,Canopy Prospecting Inc. owns 100% of Eddystone Marine and Rail Terminal Co. in Eddystone PA. Canopy is a developer of Midstream projects such as this unit train terminal located...
"CENTRAL CONTRACTING, INC.","501 6th AVE, St. Albans, WV 25177",(304) 722-4939,,Road Construction / Repair; Environmental Services; Soil Testing; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=1050005273&company_name=CENTRAL+CONTRACTING%2C+INC.,Association guide discovery — verify current operations and oil/gas fit against company source,"High integrity, good service, fair pricing, and honesty is more than just our motto. It is our way of life. From the top all the way down, Central..."
Chancellor Insurance Agency,"613 Market Street, Parkersburg, WV 26101",(304) 422-3563,http://www.chancellorins.com,Safety and Risk Management,West Virginia oil and gas industry buyers guide,WV,,https://www.paoilgasbuyersguide.com/listing.php?listing_id=750003615&company_name=Chancellor+Insurance+Agency; https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002946&company_name=Chancellor+Insurance+Agency,Association guide discovery — verify current operations and oil/gas fit against company source,"Since 1862 Chancellor Insurance Agency has been providing protection to the oil & gas industry. Services include customized protection for general liability, automobile coverage, property coverage, equipment coverage, and workers'"
Chancellor Insurance Agency,"Post Office Box 164, Parkersburg, WV 26101",(304) 422-3563,,Safety and Risk Management,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Safety+and+Risk+Management&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Concord Well Service, Inc.","Post Office Box 448, Olney, IL 62450",(618) 395-4405,,Well Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Well+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
ConServ Inc,"929 Charleston RD, Spencer, WV 25276",(304) 927-5033,http://www.csiofwv.com,"Environmental Construction; Mechanical & Industrial Construction; Pipeline Construction; Pipeline Maintenance; Stairs, Platforms, Ladders, Handrail Construction; AGT (Above Ground Storage Tank) Inspections; Midstream Pipeline; Pipeline Testing & Inspections",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002291&company_name=ConServ+Inc,Association guide discovery — verify current operations and oil/gas fit against company source,"Contractor Services Inc. (dba ConServ or CSi) of West Virginia is a specialty pipeline contractor focused on providing its services to Producers, Midstream/Gathering Pipeline Operators, Transmission Pipeline..."
Conserv Incorporated,"929 Charleston Road, Spencer, WV 25276",(304) 927-5033,,"Environmental Construction; Mechanical & Industrial Construction; Pipeline Construction; Pipeline Maintenance; Stairs, Platforms, Ladders, Handrail Construction; AGT (Above Ground Storage Tank) Inspections; Midstream Pipeline; Pipeline Testing & Inspections",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Environmental+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Mechanical+%26+Industrial+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Maintenance&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Stairs%2C+Platforms%2C+Ladders%2C+Handrail+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=AGT+%28Above+Ground+Storage+Tank%29+Inspections&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Midstream+Pipeline&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Pipeline+Testing+%26+Inspections&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Crestwood Tubulars, Inc.","9962 Lin Ferry, Saint Louis, MO 63123",(314) 842-8604,,Midstream Pipeline,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Midstream+Pipeline&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"DAC Energy, LLC","591 Pitts Run Road, Alma, WV 26320",(304) 758-4638,,Oilfield Construction / Contractors; Road Construction / Repair,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002399&company_name=DAC+Energy%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"For Construction Bids contact Lance Hickman, VP Operations Manager lance.hickman@dacenergy.com _______________________________________________________________________________________________________ For Quotes contact Jami Morris, VP"
Dearing Compressor & Pump Co.,"3974 Simon Road, Youngstown, OH 44512",(276) 202-9312,,Equipment Rental / Repairs; Equipment Supply / Manufacturer; Pumps / NGL Pumps; Gas Compressors,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Rental+%2F+Repairs&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Supply+%2F+Manufacturer&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+Sales%2F+Rentals&scat=Pumps+%2F+NGL+Pumps&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Gas&scat=Gas+Compressors&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
DOUGLAS PIPELINE COMPANY,"901 Castle Shannon Boulevard, Pittsburgh, PA 15234",(412) 302-9103,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Elk Energy Services, LLC","62 N Pinch RD, Elkview, WV 25071",(304) 965-5479,http://www.elkenergyservices.com,Construction Management Services; Inspections,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000601&company_name=Elk+Energy+Services%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Elk Energy Services, LLC provides staffing to the energy industry since 2009. Primarily construction related staffing for natural gas projects during and after construction. Elk Energy Services can provide..."
"Elk Energy Services, LLC","Post Office Box 130, Elkview, WV 25071",(304) 965-5479,,Construction Management Services; Inspections,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Construction+Management+Services&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Inspections&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Enbridge, Inc.","2030 Falling Waters Road, Suite 190, Knoxville, TN 37922",(865) 207-5680,,Midstream Pipeline,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Midstream+Pipeline&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Energy Transportation LLC,"1 Columbia Blvd., Clarksburg, WV 26301",(304) 423-8760,http://www.ET8760.com,Oilfield Trucking; Truck Equipment and Service; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002965&company_name=Energy+Transportation+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"PROVIDING TRANSPORTATION SERVICES For 10 years, Energy Transportation, LLC has provided safe, dependable and high-quality transportation services to handle both hazardous and non-hazardous materials. We are committed to providing..."
Energy Transportation LLC,"Post Office Box 430, Bridgeport, WV 26378",(304) 669-4315,,Oilfield Trucking; Truck Equipment and Service; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Oilfield+Trucking&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Truck+Equipment+and+Service&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Trucking+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Ergon Oil Purchasing, Inc.","1587 Highland Ridge Road, Lowell, OH 45744",(304) 387-4343,,Crude Oil Buyer and Transporter,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Crude+Oil+Buyer+and+Transporter&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
FESCO LTD,"104 Fesco Run RD, Bridgeport, WV 26330",(304) 441-1883,https://www.fescoinc.com/,Pipeline Maintenance; Chemical Supplies; Soaps and Cleaning Chemicals; Gas Measurement; Natural Gas Analysis; Laboratory Testing / Analytical Services; Midstream Pipeline; Oilfield Services; Pipeline Testing & Inspections; Pressure Testing; Well Services; Wireline Services; Pipeline Integrity,West Virginia oil and gas industry buyers guide,WV,"FESCO, Ltd. - Shinnston",https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000515&company_name=FESCO+LTD,Association guide discovery — verify current operations and oil/gas fit against company source,"FESCO, Ltd., is a diversified oilfield service company providing quality equipment and experienced personnel to the oil and gas industry. We offer an extensive suite of competitively priced..."
Gaddy Engineering Company,"303 Washington St W, Charleston, WV 25302",(304) 532-5115,,Environmental Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Environmental+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Gasco Drilling, Inc","Post Office Drawer 330, Cedar Bluff, VA 24609",(276) 676-4272,,Drilling Services,West Virginia oil and gas industry buyers guide,WV,GASCO Drilling Inc.,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Drilling&scat=Drilling+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"GEC, Inc.","13553 N. Preston Highway, Bruceton Mills, WV 26525",(304) 379-2982,http://www.gecincorporated.com/,Electrical Supply; Generator Sales / Rental / Service,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002922&company_name=GEC%2C+Inc.,Association guide discovery — verify current operations and oil/gas fit against company source,"GEC, Inc. is a diversified electrical contracting company that was established in northern West Virginia in 1982 and provides engineering, construction, maintenance and emergency services on high-, medium- and..."
GOLD Safety & Environmental,"Post Office Box 1264, Clarksburg, WV 25302",(304) 629-1438,http://www.goldsafdtywv.com,Safety and Risk Consulting; Safety and Health Law; Environmental Services; Inspection; Safety and Risk Management; Safety Training,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000635&company_name=GOLD+Safety+%26+Environmental; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Safety+and+Health+Law&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,"GOLD Safety & Environmental is a West Virginia based company, providing consulting services nationwide. GOLD’s safety professionals understand safety standards and the unique hazards for many types of..."
"Greer Industries, Inc.","570 Canyon Road, Morgantown, WV 26508",(304) 296-1751,,Environmental Construction; Mechanical & Industrial Construction; Oilfield Construction / Contractors; Pipeline Construction; Road Construction / Repair,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Environmental+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Mechanical+%26+Industrial+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Oilfield+Construction+%2F+Contractors&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Road+Construction+%2F+Repair&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Hall Drilling LLC,"1137 East Washington Avenue, Ellenboro, WV 26346",(304) 869-3404,http://halldrilling.com,Oilfield Construction / Contractors; Pipeline Construction; Pipeline Maintenance; Road Construction / Repair; Welding Supply & Gases; Oilfield Services; Well Services; Oilfield Trucking; Transportation; Truck Equipment and Service; Trucking Services,West Virginia oil and gas industry buyers guide,WV,Hall Drilling LLC,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000705&company_name=Hall+Drilling+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,Water Trucks Winch Trucks Brine Water Disposal Experienced Well Hook- Up Crews Experienced Roustabout Crews Rock Hauling Pad Maintenance and Reclamation
Harris Oil Co.,"Post Office Box 685, Spencer, WV 25276",(304) 532-5022,,Crude Oil Buyer and Transporter,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Crude+Oil+Buyer+and+Transporter&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
